alpha,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
0.46,26,11,15,24.13564369276407,25.53729557497224,20.276518703678637,45.81381427865088,0.20492307692307696,0.20492307692307696,0.10509090909090911,0.2781333333333334
0.47000000000000003,24,12,12,22.296907594954856,23.31427692300328,19.346786853186288,42.661063776189565,0.18416666666666667,0.18416666666666667,0.152,0.2163333333333333
0.48,27,14,13,25.625114498012174,26.139469254603878,21.854849239914895,47.99431849451877,0.17266666666666666,0.17266666666666666,0.125,0.22400000000000003
0.49,27,14,13,26.058576007484024,26.053506755067104,22.024222196976936,48.07772895204404,0.14503703703703702,0.14503703703703702,0.0992857142857143,0.1943076923076923
0.5,24,14,10,23.592980280438812,23.435324130791177,20.54514817687157,43.98047230766275,0.10149999999999999,0.10149999999999999,0.08328571428571428,0.127
0.51,24,12,12,24.077142702951512,23.48557227133127,19.688103133053406,43.17367540438468,0.15366666666666665,0.15366666666666665,0.12033333333333335,0.18699999999999997
0.52,25,13,12,25.517252392154575,24.363335333864395,21.272271933637544,45.63560726750194,0.14376,0.14376,0.12815384615384615,0.16066666666666665
0.53,29,14,15,29.74501688411236,27.989450916231597,22.777311378917457,50.76676229514905,0.18482758620689654,0.18482758620689654,0.12985714285714284,0.23613333333333333
0.54,28,15,13,29.206536195630722,27.154500301477604,22.951366457953917,50.10586675943152,0.15892857142857145,0.15892857142857145,0.14133333333333334,0.17923076923076925
0.55,29,13,16,31.007776438958555,28.36487851489288,24.07576575470678,52.44064426959966,0.13813793103448277,0.13813793103448277,0.10046153846153846,0.16875
0.56,27,13,14,29.295357436986727,26.676217048794964,20.785466566121357,47.461683614916325,0.19866666666666666,0.19866666666666666,0.10476923076923075,0.28585714285714287
0.5700000000000001,28,12,16,30.600305422230324,27.5210012157547,21.96840638952565,49.48940760528035,0.20014285714285715,0.20014285714285715,0.13566666666666663,0.2485
0.58,28,14,14,30.619698918934812,27.296682927001804,20.535597080868996,47.8322800078708,0.20550000000000002,0.20550000000000002,0.10371428571428569,0.30728571428571433
0.59,26,15,11,29.636809649829484,25.504861392368397,21.845980568639526,47.35084196100792,0.1546153846153846,0.1546153846153846,0.1748,0.1270909090909091
0.6,28,15,13,31.868763772980177,27.22676002581459,22.705798083653004,49.93255810946759,0.19414285714285714,0.19414285714285714,0.13640000000000002,0.26076923076923075
0.61,22,10,12,25.53889908689528,21.602437364048647,17.953349029380966,39.555786393429614,0.13063636363636366,0.13063636363636366,0.0628,0.18716666666666668
0.62,29,13,16,34.120324430439545,28.161948845420188,23.914619427503293,52.07656827292348,0.14586206896551723,0.14586206896551723,0.13923076923076924,0.15125
0.63,23,11,12,27.110505599610974,22.493329546659965,17.071525645192025,39.56485519185199,0.18078260869565216,0.18078260869565216,0.07672727272727274,0.2761666666666666
0.64,24,11,13,29.02229025093135,23.516951288656944,19.258657128271423,42.775608416928364,0.16724999999999998,0.16724999999999998,0.06636363636363636,0.2526153846153846
0.65,26,14,12,31.575261215764787,25.202241719046505,20.76057168701403,45.96281340606053,0.17038461538461538,0.17038461538461538,0.17085714285714285,0.16983333333333336
0.66,25,12,13,30.81390354221269,24.41109304908721,19.481694334237076,43.89278738332429,0.1548,0.1548,0.08366666666666667,0.22046153846153846
0.67,22,10,12,27.481710770002188,21.507433052978374,17.158027454541394,38.66546050751977,0.1819090909090909,0.1819090909090909,0.0814,0.26566666666666666
0.68,24,12,12,30.487947346718048,23.22415632552855,19.67399244630943,42.89814877183798,0.14558333333333334,0.14558333333333334,0.12633333333333333,0.1648333333333333
0.6900000000000001,24,11,13,30.69865540744697,23.176027414809713,19.135099963618956,42.311127378428665,0.18000000000000002,0.18000000000000002,0.108,0.24092307692307693
0.7000000000000001,23,11,12,30.77232034327827,22.543396516976205,20.28025801573752,42.823654532713725,0.09982608695652175,0.09982608695652175,0.08254545454545455,0.11566666666666665
