gamma,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
0.6900000000000001,23,9,14,22.61098936429339,22.234781737159302,18.838354103122196,41.073135840281495,0.16695652173913042,0.16695652173913042,0.04533333333333334,0.2451428571428571
0.7000000000000001,24,12,12,23.71596975403328,23.50206272511035,20.815594756640085,44.31765748175043,0.11599999999999999,0.11599999999999999,0.08550000000000002,0.1465
0.71,22,10,12,21.7623292177623,21.70273695498707,19.283261450066078,40.98599840505315,0.10154545454545455,0.10154545454545455,0.0698,0.12800000000000003
0.72,29,13,16,28.45943564664046,28.200255574360824,22.8753224724646,51.07557804682543,0.1646896551724138,0.1646896551724138,0.08507692307692306,0.229375
0.73,23,11,12,22.30694563955457,22.430457404169537,19.988450257193044,42.41890766136258,0.09808695652173914,0.09808695652173914,0.06290909090909091,0.13033333333333333
0.74,28,11,17,27.452669094430426,27.170679496562578,21.27196112507445,48.442640621637025,0.2072142857142857,0.2072142857142857,0.07363636363636364,0.2936470588235294
0.75,23,11,12,22.754522079608606,22.536802233960813,19.476101026039142,42.01290325999996,0.13521739130434784,0.13521739130434784,0.08636363636363636,0.18000000000000002
0.76,21,9,12,20.817834244592337,20.71174284753547,17.023745308402546,37.735488155938015,0.15457142857142858,0.15457142857142858,0.045111111111111116,0.23666666666666666
0.77,24,10,14,23.40381630244294,23.43493974966903,19.423420585924315,42.858360335593346,0.145,0.145,0.046799999999999994,0.21514285714285714
0.78,22,12,10,21.655063125268537,21.36291960922913,19.140023721150488,40.50294333037962,0.10736363636363637,0.10736363636363637,0.05916666666666667,0.16519999999999999
0.79,24,11,13,23.663065394934538,23.47117885316379,20.821914062308718,44.293092915472506,0.11625,0.11625,0.062000000000000006,0.1621538461538462
0.8,24,10,14,23.494349363733484,23.14147120625958,18.955251323919665,42.09672253017925,0.16116666666666668,0.16116666666666668,0.06460000000000002,0.23014285714285718
0.81,26,14,12,25.523719731596486,25.236532243552997,21.914595370275944,47.15112761382894,0.147,0.147,0.07814285714285715,0.2273333333333333
0.8200000000000001,23,9,14,22.68843871182829,22.40390588430488,19.21772369117279,41.62162957547767,0.16521739130434782,0.16521739130434782,0.06377777777777777,0.2304285714285714
0.8300000000000001,21,10,11,20.672873816538807,20.484902723830906,18.91148316703317,39.396385890864074,0.09571428571428572,0.09571428571428572,0.07880000000000001,0.11109090909090909
0.84,27,13,14,26.50742768629648,26.471966575265625,22.8180846642766,49.29005123954222,0.1334074074074074,0.1334074074074074,0.06969230769230769,0.1925714285714286
0.85,21,6,15,20.53080092383245,20.422325488306466,15.78147715222591,36.20380264053237,0.2014285714285714,0.2014285714285714,0.04666666666666667,0.2633333333333333
0.86,17,7,10,16.912540637606043,16.84275503628325,15.2049040523879,32.04765908867115,0.10752941176470589,0.10752941176470589,0.03628571428571429,0.1574
0.87,22,10,12,21.65917878536901,21.366161228785252,19.03603940740655,40.40220063619181,0.12572727272727272,0.12572727272727272,0.0648,0.1765
0.88,23,10,13,22.688766275229952,22.551967138504224,19.269658696319162,41.82162583482339,0.15026086956521736,0.15026086956521736,0.045,0.2312307692307692
0.89,19,8,11,18.705912260380913,18.447119985891913,16.336152272428944,34.78327225832086,0.10568421052631578,0.10568421052631578,0.0465,0.14872727272727274
0.9,21,6,15,20.787746221036194,20.587591344002476,17.366729679014362,37.95432102301684,0.164,0.164,0.03233333333333333,0.21666666666666667
0.91,20,6,14,19.648876479645054,19.58477676508425,16.234056861634663,35.81883362671891,0.1739,0.1739,0.036333333333333336,0.23285714285714287
0.92,23,7,16,22.687612500004086,22.488621571318603,18.369817821360833,40.858439392679436,0.1488695652173913,0.1488695652173913,0.028285714285714286,0.201625
0.93,22,8,14,21.763659159798074,21.67480216229944,18.192192686978093,39.86699484927753,0.16345454545454546,0.16345454545454546,0.028749999999999998,0.24042857142857144
0.9400000000000001,20,6,14,19.71140016817097,19.475142191362863,16.723711817397295,36.19885400876016,0.148,0.148,0.025000000000000005,0.20071428571428576
0.9500000000000001,19,5,14,18.722420454317472,18.625835214250536,15.875512823035576,34.501348037286114,0.14789473684210525,0.14789473684210525,0.0216,0.193
0.96,19,1,18,18.587420420781374,18.580266159645497,14.599463483386343,33.17972964303184,0.1957894736842105,0.1957894736842105,0.002,0.2065555555555556
0.97,16,4,12,15.780218319351004,15.675160239880165,13.83508283653374,29.510243076413907,0.10775000000000001,0.10775000000000001,0.010500000000000002,0.1401666666666667
0.98,15,3,12,14.905986140725187,14.839235527800417,13.279804182976068,28.119039710776484,0.09466666666666668,0.09466666666666668,0.012666666666666666,0.11516666666666668
0.99,20,5,15,19.821841179901433,19.65158417843436,16.43478634410864,36.086370522543,0.174,0.174,0.014000000000000002,0.22733333333333328
1.0,15,0,15,14.863551514603982,14.799734219766892,12.911326845859707,27.7110610656266,0.15120000000000003,0.15120000000000003,0.0,0.15120000000000003
