num_headhunters,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
38,17,9,8,16.854606991512277,16.733694335082717,14.478864095523695,31.212558430606414,0.14505882352941177,0.14505882352941177,0.11377777777777778,0.18025
39,18,9,9,17.815264545413818,17.683726295509395,14.743496061439663,32.42722235694906,0.16266666666666665,0.16266666666666665,0.05488888888888889,0.2704444444444445
40,16,7,9,15.760915138511452,15.751789853666766,12.755867002478213,28.50765685614498,0.14950000000000002,0.14950000000000002,0.08257142857142859,0.20155555555555557
41,18,10,8,17.732128869101714,17.484475252116745,15.006391884565378,32.49086713668213,0.17233333333333334,0.17233333333333334,0.1688,0.17675
42,14,6,8,13.623325067897863,13.599248852973611,11.20087544568131,24.80012429865492,0.17471428571428568,0.17471428571428568,0.045000000000000005,0.27199999999999996
43,16,6,10,15.86189557115884,15.758794941104824,12.43677450122229,28.195569442327113,0.243125,0.243125,0.06633333333333334,0.3491999999999999
44,13,7,6,12.875864661149048,12.781099605193884,11.324427460840923,24.105527066034806,0.12876923076923077,0.12876923076923077,0.14485714285714285,0.10999999999999999
45,14,7,7,13.915716023389628,13.840692676031631,12.208477129465285,26.049169805496916,0.11585714285714287,0.11585714285714287,0.1257142857142857,0.106
46,13,6,7,12.883432419567344,12.826864050802659,10.780468893221204,23.607332944023863,0.1376923076923077,0.1376923076923077,0.05333333333333334,0.20999999999999996
47,20,10,10,19.853841361804758,19.749549925075154,17.457061402115222,37.20661132719037,0.1066,0.1066,0.049800000000000004,0.1634
48,13,8,5,12.76196224030388,12.748762493158987,11.966755629765661,24.71551812292465,0.06846153846153848,0.06846153846153848,0.061,0.0804
49,14,7,7,13.83100472136374,13.74939653990806,12.42753862062489,26.17693516053295,0.11,0.11,0.06742857142857142,0.15257142857142858
50,16,9,7,15.784771267006171,15.612717968794417,12.982428407858029,28.595146376652444,0.16099999999999998,0.16099999999999998,0.12155555555555554,0.21171428571428572
51,13,7,6,12.886005827246212,12.907083588195592,12.003363566043426,24.910447154239016,0.05738461538461538,0.05738461538461538,0.03542857142857143,0.083
52,16,7,9,15.85038042901229,15.774585644539558,12.688688414005595,28.463274058545153,0.189,0.189,0.12000000000000001,0.2426666666666667
53,14,7,7,13.9040255324055,13.81105273341149,12.420615527418377,26.231668260829867,0.1152857142857143,0.1152857142857143,0.12000000000000001,0.11057142857142857
54,14,8,6,13.783867827879636,13.656101831779534,11.859650756644491,25.515752588424025,0.13500000000000004,0.13500000000000004,0.16975,0.08866666666666667
55,15,6,9,14.77099044109728,14.74345986177938,11.574995168057239,26.31845502983662,0.21973333333333328,0.21973333333333328,0.12333333333333334,0.28400000000000003
56,16,6,10,15.888527319756975,15.8389498973876,13.46872200024521,29.307671897632808,0.13937500000000003,0.13937500000000003,0.026333333333333337,0.2072
57,12,6,6,11.96255791634908,11.942873507721412,10.378647929237633,22.321521436959046,0.119,0.119,0.08466666666666667,0.15333333333333335
58,13,7,6,12.854136802685959,12.926641391807536,10.346818988489556,23.27346038029709,0.21,0.21,0.16457142857142856,0.263
59,13,7,6,12.77066919256018,12.82662284529454,11.056240391502218,23.88286323679676,0.09861538461538462,0.09861538461538462,0.09914285714285713,0.09800000000000002
60,12,5,7,11.941589286877711,11.886932878471729,10.932175566812807,22.819108445284535,0.09083333333333334,0.09083333333333334,0.042,0.12571428571428572
61,12,7,5,11.817844488663507,11.85903025508328,10.287245712001447,22.146275967084726,0.15566666666666665,0.15566666666666665,0.19742857142857145,0.0972
62,11,5,6,10.83332401866933,10.882448667644052,8.763890097550265,19.646338765194315,0.17200000000000001,0.17200000000000001,0.0436,0.27899999999999997
63,11,5,6,10.883390462668205,10.866192692989712,9.246787779854397,20.112980472844107,0.15309090909090908,0.15309090909090908,0.05600000000000001,0.23399999999999999
64,13,6,7,12.924852473403085,12.863283427764047,10.871965128224975,23.735248555989024,0.10230769230769231,0.10230769230769231,0.09866666666666667,0.10542857142857143
65,13,7,6,12.870653864102346,12.833063909504025,10.509752798627657,23.342816708131682,0.16615384615384615,0.16615384615384615,0.12685714285714286,0.21199999999999997
66,12,5,7,11.809253147434323,11.795694085268186,10.185735372708557,21.981429457976745,0.13233333333333333,0.13233333333333333,0.07239999999999999,0.17514285714285713
67,10,5,5,9.946711855422917,9.930553189834928,8.750365503647398,18.680918693482326,0.08660000000000001,0.08660000000000001,0.056400000000000006,0.11680000000000001
68,12,6,6,11.917294393484319,11.870950291162691,9.812320244760489,21.683270535923178,0.15966666666666665,0.15966666666666665,0.11699999999999999,0.20233333333333334
69,13,4,9,12.802975451116177,12.719559113048224,10.962360060928551,23.681919173976773,0.1376923076923077,0.1376923076923077,0.025,0.18777777777777777
70,11,4,7,10.90674029675225,10.819603771517448,9.268935552047537,20.088539323564987,0.15600000000000003,0.15600000000000003,0.021,0.23314285714285715
71,13,6,7,12.906017327898258,12.85001806502857,10.808490216524834,23.658508281553402,0.15430769230769228,0.15430769230769228,0.05266666666666667,0.2414285714285714
72,13,7,6,12.909573536453092,12.924375288952184,11.073924440837189,23.998299729789373,0.13553846153846155,0.13553846153846155,0.07714285714285715,0.20366666666666666
73,13,7,6,12.858145841598626,12.842429464370998,10.562090755009798,23.404520219380796,0.16,0.16,0.168,0.15066666666666667
74,14,6,8,13.62889399153443,13.754828233105622,10.575234425438722,24.330062658544342,0.22314285714285714,0.22314285714285714,0.17133333333333334,0.262
75,12,7,5,11.876467107963883,11.866651919228513,10.20103874419669,22.067690663425203,0.14333333333333334,0.14333333333333334,0.11657142857142858,0.18080000000000002
76,13,6,7,12.927584129923874,12.870857606441954,10.335503253306175,23.20636085974813,0.19753846153846158,0.19753846153846158,0.09833333333333333,0.2825714285714286
77,13,6,7,12.921087642952482,12.889268936312599,11.077494382193278,23.966763318505876,0.1183076923076923,0.1183076923076923,0.03966666666666666,0.1857142857142857
78,14,6,8,13.709024015674098,13.783977199138368,11.376180214039044,25.160157413177412,0.15657142857142858,0.15657142857142858,0.06366666666666666,0.22625
79,12,5,7,11.891726575461083,11.812249528390566,10.404942475633256,22.217192004023822,0.121,0.121,0.040400000000000005,0.17857142857142858
80,11,6,5,10.906302761039669,10.879085884422738,9.234670383765222,20.11375626818796,0.14945454545454545,0.14945454545454545,0.10566666666666664,0.202
81,10,6,4,9.871251035400546,9.80615727029801,8.807257349195847,18.61341461949386,0.08660000000000001,0.08660000000000001,0.09300000000000001,0.07700000000000001
82,13,5,8,12.850243319504251,12.79503302918851,11.083973624545482,23.879006653733992,0.14846153846153845,0.14846153846153845,0.0356,0.219
83,9,4,5,8.955814661950313,8.922205678067352,7.98630977013598,16.90851544820333,0.13044444444444445,0.13044444444444445,0.091,0.162
84,11,5,6,10.890728500566667,10.854347762956492,9.581388714600372,20.435736477556866,0.13345454545454546,0.13345454545454546,0.1012,0.16033333333333333
85,11,5,6,10.86151456393614,10.909259617850038,8.660448538296222,19.569708156146262,0.21654545454545457,0.21654545454545457,0.11239999999999999,0.3033333333333333
86,10,5,5,9.848500044307768,9.868773250825807,8.943065778716205,18.811839029542014,0.0786,0.0786,0.033600000000000005,0.1236
87,11,5,6,10.964550530039334,10.940537023124724,9.234942259935577,20.1754792830603,0.16618181818181818,0.16618181818181818,0.062,0.25299999999999995
